timestamp,open,high,low,close,volume,EMA20,EMA50,RSI,MACD,Signal,Upper Band,Lower Band
2026-06-05 22:00:00,61670.38,61966.0,61207.82,61584.49,1799.61028,,,,,,,
2026-06-05 23:00:00,61584.49,61776.0,60518.0,61056.47,1211.55891,,,,,,,
2026-06-06 00:00:00,61056.47,61530.05,61045.01,61273.29,769.28059,,,,,,,
2026-06-06 01:00:00,61273.29,61380.0,60954.36,61058.95,701.07746,,,,,,,
2026-06-06 02:00:00,61058.95,61176.0,60678.0,60951.64,778.33004,,,,,,,
2026-06-06 03:00:00,60951.63,60966.86,60520.0,60687.04,696.39105,,,,,,,
2026-06-06 04:00:00,60687.05,60866.0,59500.0,60101.27,2161.93035,,,,,,,
2026-06-06 05:00:00,60101.28,61062.0,59621.22,60942.38,2141.23088,,,,,,,
2026-06-06 06:00:00,60942.37,61276.95,60681.0,60786.96,2095.10137,,,,,,,
2026-06-06 07:00:00,60786.96,61229.17,60733.14,61004.95,664.31126,,,,,,,
2026-06-06 08:00:00,61004.95,61500.0,60884.0,61264.0,724.69988,,,,,,,
2026-06-06 09:00:00,61264.0,61322.0,60875.55,60981.24,580.05282,,,,,,,
2026-06-06 10:00:00,60981.24,60981.24,60198.0,60593.0,1404.76206,,,,,,,
2026-06-06 11:00:00,60593.0,60968.0,60552.95,60802.91,764.0429,,,43.449081128336296,,,,
2026-06-06 12:00:00,60802.9,61185.26,60641.2,61030.63,669.86406,,,48.01022462866249,,,,
2026-06-06 13:00:00,61030.63,61100.0,60701.41,60801.2,565.41708,,,44.146844430579485,,,,
2026-06-06 14:00:00,60801.2,61016.0,60768.0,60791.05,409.85585,,,43.978238803319186,,,,
2026-06-06 15:00:00,60791.06,60929.2,60396.0,60784.0,646.3582,,,43.85295957608027,,,,
2026-06-06 16:00:00,60784.01,60971.24,60466.56,60774.0,524.00441,,,43.66296115817545,,,,
