timestamp,open,high,low,close,volume,EMA20,EMA50,EMA100,EMA200,RSI,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,ATR,ADX,Return1,Return5,Volume_MA,Target
2026-06-14 05:00:00,64339.07,64411.2,64293.41,64338.0,429.46847,64263.5402222633,63891.66862076491,63431.573022004966,62892.82616878718,56.370982077334304,185.7368825001322,202.71356656113022,-16.976684060998025,64700.13578657622,63852.84821342379,1.3181919964649367,216.9055147892174,35.65208032173022,-1.663064138168746e-05,-0.003515836753659074,429.9750025,1
2026-06-14 06:00:00,64338.0,64487.8,64232.12,64286.1,839.75348,64265.688772523936,63907.13651798982,63448.494348301894,62906.68958999328,54.22308152508346,165.30340819119738,195.23153488714365,-29.928126695946276,64672.74261638139,63924.5503836186,1.1636205013472307,219.67512087570188,35.662431969648814,-0.0008066772358481522,-0.004288834161981336,462.524283,1
2026-06-14 07:00:00,64286.1,64445.95,64214.0,64429.39,256.82492,64281.279365616894,63927.617046696105,63467.91802457314,62921.84083785405,58.88140886094404,158.84101768487017,187.95343144668897,-29.1124137618188,64667.72285964109,63975.38114035891,1.0763759544890643,220.55189795600867,35.524906992006436,0.0022289421819023936,-0.0009399905504744455,451.4129510000001,1
2026-06-14 08:00:00,64429.39,64513.82,64392.0,64456.33,192.66954,64297.95085460576,63948.35088800214,63487.49053893803,62937.10938673113,59.71150966506469,154.11679700116656,181.18610455758449,-27.069307556417925,64677.30242204666,63998.12257795334,1.0556481069999493,213.49961953057945,35.6701124419973,0.0004181321598730747,-0.0013784117511267402,417.14400750000004,1
2026-06-14 09:00:00,64456.33,64617.99,64321.18,64616.0,237.3813,64328.24124940521,63974.533206119704,63509.83726093925,62953.81476596764,64.3103217007838,161.3963757019592,177.22815878645943,-15.831783084500245,64705.617850141185,64021.138149858794,1.0634614303220549,219.45036099268074,36.19303982846971,0.002477181061968592,0.004304227586752418,404.026488,0
2026-06-14 10:00:00,64616.0,64664.0,64498.01,64521.13,184.13016,64346.61160660472,63995.96837450717,63529.86285973254,62969.40994242568,59.932882811050625,157.69249718318315,173.32102646580418,-15.628529282621031,64720.655317609206,64036.11668239079,1.0633050589656194,215.6317637789177,36.84045399253311,-0.001468212207502817,0.0028463738381672155,402.9099795,0
2026-06-14 11:00:00,64521.13,64641.9,64460.0,64546.0,228.11339,64365.60097740427,64017.538242173556,63549.984387262586,62985.09740568513,60.68831013768534,154.97746418775205,169.65231401019378,-14.674849822441729,64738.42759611691,64043.3294038831,1.0794979171371462,213.2223520804237,37.08728787432818,0.0003854551214463875,0.004042864631701226,385.0695465,0
2026-06-14 12:00:00,64546.01,64560.66,64295.06,64327.53,334.09454,64361.975170032434,64029.69478169616,63565.38133008907,62998.45494393702,51.5022101552038,133.6563703686843,162.4531252818919,-28.796754913207593,64713.26387389793,64098.32912610209,0.9547816830366133,216.96361264610815,35.93727805529915,-0.003384717875623555,-0.0015809555235584138,365.7368685,0
2026-06-14 13:00:00,64327.54,64398.14,64244.0,64317.99,308.61157,64357.78610621982,64041.00047653161,63580.2844720675,63011.5846459874,51.138200574100246,114.66763452332816,152.89602713017916,-38.228392606851,64662.090298738774,64184.18270126123,0.741826032449612,212.47621174281468,34.49028790202358,-0.0001483035334949312,-0.002146259335584322,366.0796245,0
2026-06-14 14:00:00,64318.0,64341.43,63866.66,63983.55,781.47067,64322.14457229412,64038.74751666763,63588.26992806616,63021.255943042255,40.366924955012415,71.80469180091313,136.67776006432595,-64.87306826341282,64700.13387909404,64128.34812090595,0.8876697905795339,231.21148233261343,33.04507323871763,-0.0051997893590890465,-0.009787823449300403,391.21708099999995,1
