RSI,EMA20,EMA50,MACD,Signal,volume,Target
,,,,,1799.61028,0
,,,,,1211.55891,1
,,,,,769.28059,0
,,,,,701.07746,0
,,,,,778.33004,0
,,,,,696.39105,0
,,,,,2161.93035,1
,,,,,2141.23088,0
,,,,,2095.10137,1
,,,,,664.31126,1
,,,,,724.69988,0
,,,,,580.05282,0
,,,,,1404.76206,1
43.449081128336296,,,,,764.0429,1
48.01022462866249,,,,,669.86406,0
44.146844430579485,,,,,565.41708,0
43.978238803319186,,,,,409.85585,0
43.85295957608027,,,,,646.3582,0
43.66296115817545,,,,,524.00441,0
39.97372336254874,60931.701766720515,,,,599.85374,1
41.61243760827672,60903.65493179475,,,,975.00187,0
40.87962103429453,60874.736366861915,,,,348.13504,1
44.06438806370336,60859.20814144649,,,,328.01265,1
45.18958810402041,60848.92260416588,,,,311.33205,0
40.57090215568716,60819.83759424532,,,,374.15284,1
49.669425845595775,60826.00734717434,,-139.01724323929375,,562.39032,0
47.32226578285097,60821.817123633926,,-126.10632943944074,,680.4546,1
60.865027028479574,60884.47739757355,,-58.89366102713393,,1285.5692,1
61.27970667624385,60943.74050256655,,-3.4099617180399946,,523.36778,1
64.21949335761292,61015.86712136974,,55.601141292994726,,469.79753,1
66.86618901048749,61099.205490763095,,116.34600956326176,,486.27163,0
63.08567063656434,61161.00496783328,,151.21921393952653,,1139.66042,1
67.91313794797483,61250.52830423011,,204.96979612675204,,1749.1221,1
71.38198093641792,61360.45227525581,,268.9754112748342,90.49128067166048,1528.1498,1
75.59435835730496,61502.79110618383,,351.9767859774729,142.78838173282296,2005.84536,0
67.83316443870268,61600.62052464251,,387.0684979413272,191.6444049745238,1248.753,0
64.34232338049111,61673.94428420037,,397.4289161700872,232.8013072136365,674.16526,1
67.20764531833791,61764.23149522891,,421.0748402391182,270.45601381873286,794.29873,0
53.841707564228344,61777.22563854044,,377.2634720283677,291.81750546065985,1957.0674,0
50.81580231839743,61769.88319677468,,322.64153429027647,297.9823112265832,1146.18923,1
53.686227216611464,61782.79813041518,,292.5517365263586,296.89619628653827,923.54392,1
56.212338790232664,61812.43545132803,,280.68022276230477,293.65300158169157,527.33835,0
56.031625842122544,61838.26445596345,,267.3549031720904,288.3933818997713,482.9603,1
57.126867505435,61868.90688872884,,259.9602521749475,282.70675595480657,573.97699,0
54.63452648141749,61884.26242313562,,240.84421219513752,274.33424720287275,373.61361,0
43.56753446551836,61831.285049503655,,167.11142631699477,252.88968302569717,1046.65633,1
51.803418176862415,61835.73504478902,,151.31461200999183,232.5746688225561,569.10903,0
50.36982778070655,61830.275516713875,,129.26850835624646,211.91343672929415,374.19369,1
62.55431129585103,61928.90356274113,,197.27172049810903,208.98509348305717,4892.75492,1
66.36608041965445,62062.532747241974,61713.28718424038,285.48743689987896,224.28556216642153,1159.24525,1
68.57858946590095,62211.950580837976,61788.50807897605,375.2334547428618,254.4751406817096,1255.61981,0
62.37950556285141,62307.13719218674,61844.30815431032,407.7660504347368,285.13332263231507,1129.10442,0
61.22330857150459,62385.49841197848,61894.72469727854,422.10781571544067,312.5282212489402,502.88284,1
61.22511336579162,62456.414753694815,61943.17157189507,428.5490527220827,335.73238754356873,427.85473,0
54.78614570088431,62478.14763429531,61972.2475886835,393.17259678458504,347.22042939177203,553.63898,1
55.68063107256206,62505.37166912433,62003.29670285278,367.308506271911,351.23804476779986,674.10723,1
58.19404993427733,62551.33912920773,62041.91369489777,360.7301048016161,353.13645677456316,629.53051,1
61.31525673308879,62621.11540261652,62090.62256960766,375.0745468997993,357.5240747996104,976.9078,0
58.89665893184548,62669.85012617685,62131.49344923089,369.98036852202495,360.0153335440933,490.75057,1
62.76012835781232,62749.10249511238,62185.23880416301,391.2223613198148,366.2567390992376,706.93226,0
57.55687701006182,62789.40701938739,62223.9470863527,377.1057190808133,368.4265350955528,982.6729,1
60.817673052691376,62855.14063658859,62273.188769240835,386.2629285051807,371.9938137774784,1572.11873,1
64.56151395818708,62951.98438548492,62335.88724887845,420.3372899800525,381.6625090179932,2589.09295,0
62.68747111600936,63028.747777343495,62391.656376373416,433.14954139221663,391.9599154928379,1304.57724,1
64.68320561009472,63117.827036644114,62453.320047888184,454.6908831949986,404.5061090332701,1937.84618,0
